service_id,date,exception_type
"T0+sf#6","20211004","2"
"T0+sf#6","20211005","2"
"T0+sf#6","20211006","2"
"T0+sf#6","20211007","2"
"T0+sf#6","20211008","2"
"T0+sf#6","20211011","2"
"T0+sf#6","20211012","2"
"T0+sf#6","20211013","2"
"T0+sf#6","20211014","2"
"T0+sf#6","20211015","2"
"T0+sf#6","20211018","2"
"T0+sf#6","20211019","2"
"T0+sf#6","20211020","2"
"T0+sf#6","20211021","2"
"T0+sf#6","20211022","2"
"T0+sf#6","20211025","2"
"T0+sf#6","20211026","2"
"T0+sf#6","20211027","2"
"T0+sf#6","20211028","2"
"T0+sf#6","20211029","2"
"T0+sf#6","20211101","2"
"T0+sf#6","20211108","2"
"T0+sf#6","20211109","2"
"T0+sf#6","20211110","2"
"T0+sf#6","20211111","2"
"T0+sf#6","20211112","2"
"T0+sf#6","20211115","2"
"T0+sf#6","20211116","2"
"T0+sf#6","20211117","2"
"T0+sf#6","20211118","2"
"T0+sf#6","20211119","2"
"T0+sf#6","20211122","2"
"T0+sf#6","20211123","2"
"T0+sf#6","20211124","2"
"T0+sf#6","20211125","2"
"T0+sf#6","20211126","2"
"T0+sf#6","20211129","2"
"T0+sf#6","20211130","2"
"T0+sf#6","20211201","2"
"T0+sf#6","20211202","2"
"T0+sf#6","20211203","2"
"T0+sf#6","20211206","2"
"T0+sf#6","20211207","2"
"T0+sf#6","20211208","2"
"T0+sf#6","20211209","2"
"T0+sf#6","20211210","2"
"T0+sf#60","20210603","2"
"T0+sf#61","20201214","2"
"T0+sf#61","20201215","2"
"T0+sf#61","20201216","2"
"T0+sf#61","20201217","2"
"T0+sf#61","20201218","2"
"T0+sf#61","20201224","2"
"T0+sf#61","20201225","2"
"T0+sf#61","20201231","2"
"T0+sf#61","20210101","2"
"T0+sf#61","20210106","2"
"T0+sf#61","20210118","2"
"T0+sf#61","20210119","2"
"T0+sf#61","20210120","2"
"T0+sf#61","20210121","2"
"T0+sf#61","20210122","2"
"T0+sf#61","20210125","2"
"T0+sf#61","20210126","2"
"T0+sf#61","20210127","2"
"T0+sf#61","20210128","2"
"T0+sf#61","20210129","2"
"T0+sf#61","20210201","2"
"T0+sf#61","20210202","2"
"T0+sf#61","20210203","2"
"T0+sf#61","20210204","2"
"T0+sf#61","20210205","2"
"T0+sf#61","20210208","2"
"T0+sf#61","20210209","2"
"T0+sf#61","20210210","2"
"T0+sf#61","20210211","2"
"T0+sf#61","20210212","2"
"T0+sf#61","20210222","2"
"T0+sf#61","20210223","2"
"T0+sf#61","20210224","2"
"T0+sf#61","20210225","2"
"T0+sf#61","20210226","2"
"T0+sf#61","20210301","2"
"T0+sf#61","20210302","2"
"T0+sf#61","20210303","2"
"T0+sf#61","20210304","2"
"T0+sf#61","20210305","2"
"T0+sf#61","20210308","2"
"T0+sf#61","20210309","2"
"T0+sf#61","20210310","2"
"T0+sf#61","20210311","2"
"T0+sf#61","20210312","2"
"T0+sf#61","20210315","2"
"T0+sf#61","20210316","2"
"T0+sf#61","20210317","2"
"T0+sf#61","20210318","2"
"T0+sf#61","20210319","2"
"T0+sf#61","20210322","2"
"T0+sf#61","20210323","2"
"T0+sf#61","20210324","2"
"T0+sf#61","20210325","2"
"T0+sf#61","20210326","2"
"T0+sf#61","20210329","2"
"T0+sf#61","20210330","2"
"T0+sf#61","20210331","2"
"T0+sf#61","20210402","2"
"T0+sf#61","20210405","2"
"T0+sf#61","20210412","2"
"T0+sf#61","20210413","2"
"T0+sf#61","20210414","2"
"T0+sf#61","20210415","2"
"T0+sf#61","20210416","2"
"T0+sf#61","20210419","2"
"T0+sf#61","20210420","2"
"T0+sf#61","20210421","2"
"T0+sf#61","20210422","2"
"T0+sf#61","20210423","2"
"T0+sf#61","20210426","2"
"T0+sf#61","20210427","2"
"T0+sf#61","20210428","2"
"T0+sf#61","20210429","2"
"T0+sf#61","20210430","2"
"T0+sf#61","20210503","2"
"T0+sf#61","20210504","2"
"T0+sf#61","20210505","2"
"T0+sf#61","20210506","2"
"T0+sf#61","20210507","2"
"T0+sf#61","20210510","2"
"T0+sf#61","20210511","2"
"T0+sf#61","20210512","2"
"T0+sf#61","20210513","2"
"T0+sf#61","20210514","2"
"T0+sf#61","20210517","2"
"T0+sf#61","20210518","2"
"T0+sf#61","20210519","2"
"T0+sf#61","20210520","2"
"T0+sf#61","20210521","2"
"T0+sf#61","20210524","2"
"T0+sf#61","20210603","2"
"T0+sf#61","20210607","2"
"T0+sf#61","20210608","2"
"T0+sf#61","20210609","2"
"T0+sf#61","20210610","2"
"T0+sf#61","20210611","2"
"T0+sf#62","20201214","2"
"T0+sf#62","20201215","2"
"T0+sf#62","20201216","2"
"T0+sf#62","20201217","2"
"T0+sf#62","20201218","2"
"T0+sf#62","20201224","2"
"T0+sf#62","20201225","2"
"T0+sf#62","20201231","2"
"T0+sf#62","20210101","2"
"T0+sf#62","20210106","2"
"T0+sf#62","20210118","2"
"T0+sf#62","20210119","2"
"T0+sf#62","20210120","2"
"T0+sf#62","20210121","2"
"T0+sf#62","20210122","2"
"T0+sf#62","20210125","2"
"T0+sf#62","20210126","2"
"T0+sf#62","20210127","2"
"T0+sf#62","20210128","2"
"T0+sf#62","20210129","2"
"T0+sf#62","20210201","2"
"T0+sf#62","20210202","2"
"T0+sf#62","20210203","2"
"T0+sf#62","20210204","2"
"T0+sf#62","20210205","2"
"T0+sf#62","20210208","2"
"T0+sf#62","20210209","2"
"T0+sf#62","20210210","2"
"T0+sf#62","20210211","2"
"T0+sf#62","20210212","2"
"T0+sf#62","20210222","2"
"T0+sf#62","20210223","2"
"T0+sf#62","20210224","2"
"T0+sf#62","20210225","2"
"T0+sf#62","20210226","2"
"T0+sf#62","20210301","2"
"T0+sf#62","20210302","2"
"T0+sf#62","20210303","2"
"T0+sf#62","20210304","2"
"T0+sf#62","20210305","2"
"T0+sf#62","20210308","2"
"T0+sf#62","20210309","2"
"T0+sf#62","20210310","2"
"T0+sf#62","20210311","2"
"T0+sf#62","20210312","2"
"T0+sf#62","20210315","2"
"T0+sf#62","20210316","2"
"T0+sf#62","20210317","2"
"T0+sf#62","20210318","2"
"T0+sf#62","20210319","2"
"T0+sf#62","20210322","2"
"T0+sf#62","20210323","2"
"T0+sf#62","20210324","2"
"T0+sf#62","20210325","2"
"T0+sf#62","20210326","2"
"T0+sf#62","20210329","2"
"T0+sf#62","20210330","2"
"T0+sf#62","20210331","2"
"T0+sf#62","20210402","2"
"T0+sf#62","20210405","2"
"T0+sf#62","20210412","2"
"T0+sf#62","20210413","2"
"T0+sf#62","20210414","2"
"T0+sf#62","20210415","2"
"T0+sf#62","20210416","2"
"T0+sf#62","20210419","2"
"T0+sf#62","20210420","2"
"T0+sf#63","20210503","2"
"T0+sf#63","20210504","2"
"T0+sf#63","20210505","2"
"T0+sf#63","20210506","2"
"T0+sf#63","20210507","2"
"T0+sf#63","20210510","2"
"T0+sf#63","20210511","2"
"T0+sf#63","20210512","2"
"T0+sf#63","20210513","2"
"T0+sf#63","20210514","2"
"T0+sf#63","20210517","2"
"T0+sf#63","20210518","2"
"T0+sf#63","20210519","2"
"T0+sf#63","20210520","2"
"T0+sf#63","20210521","2"
"T0+sf#63","20210524","2"
"T0+sf#63","20210525","2"
"T0+sf#63","20210526","2"
"T0+sf#63","20210527","2"
"T0+sf#63","20210528","2"
"T0+sf#63","20210531","2"
"T0+sf#63","20210601","2"
"T0+sf#63","20210602","2"
"T0+sf#63","20210603","2"
"T0+sf#63","20210604","2"
"T0+sf#63","20210607","2"
"T0+sf#63","20210608","2"
"T0+sf#63","20210609","2"
"T0+sf#63","20210610","2"
"T0+sf#63","20210611","2"
"T0+sf#64","20210503","2"
"T0+sf#64","20210504","2"
"T0+sf#64","20210505","2"
"T0+sf#64","20210506","2"
"T0+sf#64","20210507","2"
"T0+sf#64","20210510","2"
"T0+sf#64","20210511","2"
"T0+sf#64","20210512","2"
"T0+sf#64","20210513","2"
"T0+sf#64","20210514","2"
"T0+sf#64","20210517","2"
"T0+sf#64","20210518","2"
"T0+sf#64","20210519","2"
"T0+sf#64","20210520","2"
"T0+sf#64","20210521","2"
"T0+sf#64","20210524","2"
"T0+sf#64","20210603","2"
"T0+sf#64","20210607","2"
"T0+sf#64","20210608","2"
"T0+sf#64","20210609","2"
"T0+sf#64","20210610","2"
"T0+sf#64","20210611","2"
"T0+sf#65","20201214","2"
"T0+sf#65","20201215","2"
"T0+sf#65","20201216","2"
"T0+sf#65","20201217","2"
"T0+sf#65","20201218","2"
"T0+sf#65","20201224","2"
"T0+sf#65","20201225","2"
"T0+sf#65","20201231","2"
"T0+sf#65","20210101","2"
"T0+sf#65","20210106","2"
"T0+sf#65","20210118","2"
"T0+sf#65","20210119","2"
"T0+sf#65","20210120","2"
"T0+sf#65","20210121","2"
"T0+sf#65","20210122","2"
"T0+sf#65","20210125","2"
"T0+sf#65","20210126","2"
"T0+sf#65","20210127","2"
"T0+sf#65","20210128","2"
"T0+sf#65","20210129","2"
"T0+sf#65","20210201","2"
"T0+sf#65","20210202","2"
"T0+sf#65","20210203","2"
"T0+sf#65","20210204","2"
"T0+sf#65","20210205","2"
"T0+sf#65","20210208","2"
"T0+sf#65","20210209","2"
"T0+sf#65","20210210","2"
"T0+sf#65","20210211","2"
"T0+sf#65","20210212","2"
"T0+sf#65","20210222","2"
"T0+sf#65","20210223","2"
"T0+sf#65","20210224","2"
"T0+sf#65","20210225","2"
"T0+sf#65","20210226","2"
"T0+sf#65","20210301","2"
"T0+sf#65","20210302","2"
"T0+sf#65","20210303","2"
"T0+sf#65","20210304","2"
"T0+sf#65","20210305","2"
"T0+sf#65","20210308","2"
"T0+sf#65","20210309","2"
"T0+sf#65","20210310","2"
"T0+sf#65","20210311","2"
"T0+sf#65","20210312","2"
"T0+sf#65","20210315","2"
"T0+sf#65","20210316","2"
"T0+sf#65","20210317","2"
"T0+sf#65","20210318","2"
"T0+sf#65","20210319","2"
"T0+sf#65","20210322","2"
"T0+sf#65","20210323","2"
"T0+sf#65","20210324","2"
"T0+sf#65","20210325","2"
"T0+sf#65","20210326","2"
"T0+sf#65","20210329","2"
"T0+sf#65","20210330","2"
"T0+sf#65","20210331","2"
"T0+sf#65","20210402","2"
"T0+sf#65","20210405","2"
"T0+sf#65","20210412","2"
"T0+sf#65","20210413","2"
"T0+sf#65","20210414","2"
"T0+sf#65","20210415","2"
"T0+sf#65","20210416","2"
"T0+sf#65","20210419","2"
"T0+sf#65","20210420","2"
"T0+sf#65","20210421","2"
"T0+sf#65","20210422","2"
"T0+sf#65","20210423","2"
"T0+sf#65","20210426","2"
"T0+sf#65","20210427","2"
"T0+sf#65","20210428","2"
"T0+sf#65","20210429","2"
"T0+sf#65","20210430","2"
"T0+sf#65","20210503","2"
"T0+sf#65","20210504","2"
"T0+sf#65","20210505","2"
"T0+sf#65","20210506","2"
"T0+sf#65","20210507","2"
"T0+sf#65","20210510","2"
"T0+sf#65","20210511","2"
"T0+sf#65","20210512","2"
"T0+sf#65","20210513","2"
"T0+sf#65","20210514","2"
"T0+sf#65","20210517","2"
"T0+sf#65","20210518","2"
"T0+sf#65","20210519","2"
"T0+sf#65","20210520","2"
"T0+sf#65","20210521","2"
"T0+sf#65","20210524","2"
"T0+sf#65","20210525","2"
"T0+sf#65","20210526","2"
"T0+sf#65","20210527","2"
"T0+sf#65","20210528","2"
"T0+sf#65","20210531","2"
"T0+sf#65","20210601","2"
"T0+sf#65","20210602","2"
